"Câmara dos Deputados"
"Relatório de Proposições"
"Resultado da Pesquisa"
"Proposições";"Ementa";"Explicação";"Autor";"UF";"Partido";"Apresentação";"Situação";"Link"
"PL 1147/2022";"Dispõe sobre a concessão de benefícios para pagamento parcelado e isenção de débitos fiscais em atraso com a União, às Santas Casas de Misericórdia e Hospitais filantrópicos, sem fins lucrativos, que participam de forma Complementar do Sistema Único de Saúde (SUS), com o objetivo de garantir a continuidade de seus serviços.";"";"Zé Neto";"BA";"PT";"06/05/2022";"Tramitando em Conjunto";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2322141"
"PL 1501/2022";"Dispõe sobre os procedimentos de análise, decretação e efetivação de medidas judiciais, extrajudiciais ou administrativas que acarretem desocupação ou remoção forçada coletiva em imóvel privado ou público, urbano ou rural, a serem observados após 30 de junho de 2022, e altera a Lei nº 13.465, de 11 de julho de 2017.";"";"Natália Bonavides;Padre João;Maria do Rosário;Professora Rosa Neide;Zeca Dirceu;Paulo Teixeira;Vicentinho;Alencar Santana;Afonso Florence;Pedro Uczai;Célio Moura;Valmir Assunção;Marcon;Arlindo Chinaglia;Luiza Erundina;Waldenor Pereira;Leonardo Monteiro;Patrus Ananias;Frei Anastacio Ribeiro;Luizianne Lins;José Ricardo;Rogério Correia;Airton Faleiro;Gleisi Hoffmann;Benedita da Silva;João Daniel;Rejane Dias;Vander Loubet;Nilto Tatto;Carlos Zarattini;Ivan Valente;Rubens Pereira Júnior;Leo de Brito;Talíria Petrone;Sâmia Bomfim;Fernanda Melchionna;Paulo Guedes;Vivi Reis;Paulão;Beto Faro;Helder Salomão;Áurea Carolina;Reginaldo Lopes;Jorge Solla;Camilo Capiberibe;Alice Portugal;Jandira Feghali;Professora Marcivania;Carlos Veras;Daniel Almeida;José Guimarães;Glauber Braga;Erika Kokay";"RN;MG;RS;MT;PR;SP;SP;SP;BA;SC;TO;BA;RS;SP;SP;BA;MG;MG;PB;CE;AM;MG;PA;PR;RJ;SE;PI;MS;SP;SP;SP;MA;AC;RJ;SP;RS;MG;PA;AL;PA;ES;MG;MG;BA;AP;BA;RJ;AP;PE;BA;CE;RJ;DF";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PSOL;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PSOL;PT;PT;PSOL;PSOL;PSOL;PT;PSOL;PT;PT;PT;PSOL;PT;PT;PSB;PCdoB;PCdoB;PCdoB;PT;PCdoB;PT;PSOL;PT";"06/06/2022";"Pronta para Pauta";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2326080"
"PL 364/2022";"Dispõe sobre ações emergenciais e temporárias destinadas ao setor do ensino privado para compensar os efeitos decorrentes das medidas de combate à pandemia da Covid-19.";"";"Darci de Matos";"SC";"PSD";"23/02/2022";"Aguardando Designação de Relator";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2315085"
"PL 1825/2022 (Nº Anterior: PLS 68/2017)";"Institui a Lei Geral do Esporte.";"";"Senado Federal - Comissão Diretora do Senado Federal";"";"";"29/06/2022";"Transformado em Norma Jurídica";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2330849"
"
"
"Fonte";"Sistema de Informações Legislativas - Câmara dos Deputados"
"Data/Hora da pesquisa";"25/10/2023 20:36"
"Total de resultados";"15"
"Termo da pesquisa";"endividamento"
"Ano";"2022"
"Tipo de proposição";"Projeto de Lei"
