,ano,ocupacao,Estado,Valor,ativo_problematico_deflacionado,ativo_problematico/pop
700,2016,Empregado de empresa privada,AMAZONAS,3941175.0,222468306.22599375,56.447203239133955
701,2016,Empregado de entidades sem fins lucrativos,AMAZONAS,3941175.0,2020561.6345956866,0.5126800090317447
702,2016,Empresário,AMAZONAS,3941175.0,211713434.42614436,53.71835415228818
703,2016,MEI,AMAZONAS,3941175.0,9501542.847197546,2.410840129453157
704,2016,Outros,AMAZONAS,3941175.0,1023064967.8013924,259.58374540622845
705,2016,Servidor ou empregado público,AMAZONAS,3941175.0,461249442.38445455,117.03348427422141
726,2017,Aposentado/pensionista,AMAZONAS,3941175.0,118527356.97590987,30.074116723035612
727,2017,Autônomo,AMAZONAS,3941175.0,132718716.12010047,33.674910685290676
728,2017,Empregado de empresa privada,AMAZONAS,3941175.0,268453517.94615716,68.11509713376269
729,2017,Empregado de entidades sem fins lucrativos,AMAZONAS,3941175.0,3684298.9204014074,0.9348224629460522
730,2017,Empresário,AMAZONAS,3941175.0,209157932.85790065,53.069943064669964
731,2017,MEI,AMAZONAS,3941175.0,12658159.65194868,3.211773050409758
732,2017,Outros,AMAZONAS,3941175.0,426286682.6980531,108.16233298395862
733,2017,Servidor ou empregado público,AMAZONAS,3941175.0,461516021.94885343,117.10112389042695
754,2018,Aposentado/pensionista,AMAZONAS,3941175.0,128449020.49185675,32.59155467388704
755,2018,Autônomo,AMAZONAS,3941175.0,119349197.53507878,30.28264350988697
756,2018,Empregado de empresa privada,AMAZONAS,3941175.0,247971051.62911516,62.91805150218276
757,2018,Empregado de entidades sem fins lucrativos,AMAZONAS,3941175.0,2429874.990919076,0.6165356755077042
758,2018,Empresário,AMAZONAS,3941175.0,194101596.7005799,49.24967724107149
759,2018,MEI,AMAZONAS,3941175.0,15715866.998735432,3.9876095323692633
760,2018,Outros,AMAZONAS,3941175.0,387228524.40971977,98.25205031741035
761,2018,Servidor ou empregado público,AMAZONAS,3941175.0,386465838.2329683,98.05853285707137
782,2019,Aposentado/pensionista,AMAZONAS,3941175.0,134663012.75083017,34.168239865225516
783,2019,Autônomo,AMAZONAS,3941175.0,136995737.4330827,34.76012545321705
784,2019,Empregado de empresa privada,AMAZONAS,3941175.0,281942486.82099617,71.53767260296641
785,2019,Empregado de entidades sem fins lucrativos,AMAZONAS,3941175.0,2481557.418851628,0.6296491322642684
786,2019,Empresário,AMAZONAS,3941175.0,197305445.78942066,50.06259447738826
787,2019,MEI,AMAZONAS,3941175.0,17178930.879645966,4.358834834699288
788,2019,Outros,AMAZONAS,3941175.0,474259151.7231335,120.33445653215945
789,2019,Servidor ou empregado público,AMAZONAS,3941175.0,394083951.8224984,99.9914877726816
810,2020,Aposentado/pensionista,AMAZONAS,3941175.0,164518174.13815454,41.74343289454402
811,2020,Autônomo,AMAZONAS,3941175.0,124230290.89414163,31.521130346696513
812,2020,Empregado de empresa privada,AMAZONAS,3941175.0,317042991.13933665,80.44377403676229
813,2020,Empregado de entidades sem fins lucrativos,AMAZONAS,3941175.0,2417605.011749429,0.6134223960492566
814,2020,Empresário,AMAZONAS,3941175.0,210339003.9813889,53.36961793916507
815,2020,MEI,AMAZONAS,3941175.0,24556371.46393412,6.230723442611434
816,2020,Outros,AMAZONAS,3941175.0,494146616.9915052,125.38053169207285
817,2020,Servidor ou empregado público,AMAZONAS,3941175.0,491962694.594468,124.82640192188066
838,2021,Aposentado/pensionista,AMAZONAS,3941175.0,186555285.23845497,47.334940782496325
839,2021,Autônomo,AMAZONAS,3941175.0,122872333.32821856,31.176573820806883
840,2021,Empregado de empresa privada,AMAZONAS,3941175.0,394321297.61993235,100.05170986315815
841,2021,Empregado de entidades sem fins lucrativos,AMAZONAS,3941175.0,3005978.623690471,0.7627112786644772
842,2021,Empresário,AMAZONAS,3941175.0,222241916.4733264,56.389761041650374
843,2021,MEI,AMAZONAS,3941175.0,30216733.859508667,7.666935332612398
844,2021,Outros,AMAZONAS,3941175.0,690811338.8640586,175.28055436869934
845,2021,Servidor ou empregado público,AMAZONAS,3941175.0,610927658.4096014,155.01155325749338
866,2022,Aposentado/pensionista,AMAZONAS,3941175.0,216707235.1875146,54.98543840035386
867,2022,Autônomo,AMAZONAS,3941175.0,181924607.7853292,46.15999233358813
868,2022,Empregado de empresa privada,AMAZONAS,3941175.0,622430660.4167455,157.93022649761696
869,2022,Empregado de entidades sem fins lucrativos,AMAZONAS,3941175.0,3639065.2297333675,0.9233452535686356
870,2022,Empresário,AMAZONAS,3941175.0,333385620.8494735,84.59041297315483
871,2022,MEI,AMAZONAS,3941175.0,53354829.88052998,13.53779770767093
872,2022,Outros,AMAZONAS,3941175.0,1137804959.7712488,288.69688856020065
873,2022,Servidor ou empregado público,AMAZONAS,3941175.0,871330546.5053884,221.083952502842
894,2012,Aposentado/pensionista,AMAPÁ,733508.0,17744641.235965572,24.191476079286897
895,2012,Autônomo,AMAPÁ,733508.0,12213227.778810717,16.650435685514974
896,2012,Empregado de empresa privada,AMAPÁ,733508.0,18737714.141375873,25.5453439381382
897,2012,Empregado de entidades sem fins lucrativos,AMAPÁ,733508.0,495740.7269714696,0.6758491072646373
898,2012,Empresário,AMAPÁ,733508.0,35744689.92826326,48.73115211867255
899,2012,Outros,AMAPÁ,733508.0,222246523.94313896,302.9912747279361
900,2012,Servidor ou empregado público,AMAPÁ,733508.0,241879510.7907995,329.7571543743211
919,2013,Aposentado/pensionista,AMAPÁ,733508.0,12881025.302416515,17.56085182767811
920,2013,Autônomo,AMAPÁ,733508.0,12089751.799101697,16.482099444180154
921,2013,Empregado de empresa privada,AMAPÁ,733508.0,16029560.664971938,21.85328676029701
922,2013,Empregado de entidades sem fins lucrativos,AMAPÁ,733508.0,581606.7867333988,0.7929113066706822
923,2013,Empresário,AMAPÁ,733508.0,28392416.44233957,38.707712039050115
924,2013,Outros,AMAPÁ,733508.0,205365063.36628014,279.97658289518336
925,2013,Servidor ou empregado público,AMAPÁ,733508.0,192308645.0660917,262.17661575073714
945,2014,Aposentado/pensionista,AMAPÁ,733508.0,10884731.141711464,14.839280746374223
946,2014,Autônomo,AMAPÁ,733508.0,9096882.865478208,12.401886367262808
947,2014,Empregado de empresa privada,AMAPÁ,733508.0,15637131.845017862,21.318283979203855
948,2014,Empregado de entidades sem fins lucrativos,AMAPÁ,733508.0,138669.91084489395,0.1890503046250265
949,2014,Empresário,AMAPÁ,733508.0,25379506.574605715,34.60017692323153
950,2014,Outros,AMAPÁ,733508.0,193480090.9148388,263.7736615208543
951,2014,Servidor ou empregado público,AMAPÁ,733508.0,168289920.3061032,229.43160852520109
971,2015,Aposentado/pensionista,AMAPÁ,733508.0,11227949.052712679,15.307193722103479
972,2015,Autônomo,AMAPÁ,733508.0,11924374.584000828,16.256638760587244
973,2015,Empregado de empresa privada,AMAPÁ,733508.0,17473416.97094417,23.821712879674347
974,2015,Empregado de entidades sem fins lucrativos,AMAPÁ,733508.0,244762.79985154662,0.3336879759342047
975,2015,Empresário,AMAPÁ,733508.0,27144369.305210352,37.00623484026126
976,2015,Outros,AMAPÁ,733508.0,227861061.15278852,310.6456387016754
977,2015,Servidor ou empregado público,AMAPÁ,733508.0,190660976.38694748,259.9303298490916
997,2016,Aposentado/pensionista,AMAPÁ,733508.0,22004171.07356281,29.99854272013776
998,2016,Autônomo,AMAPÁ,733508.0,6200261.497903463,8.452888718191845
999,2016,Empregado de empresa privada,AMAPÁ,733508.0,16088467.427693188,21.933595036036674
1000,2016,Empregado de entidades sem fins lucrativos,AMAPÁ,733508.0,43044.65770491658,0.058683283215611254
1001,2016,Empresário,AMAPÁ,733508.0,31554682.182709225,43.018865755668955
1002,2016,MEI,AMAPÁ,733508.0,924695.5987187442,1.2606482802079109
1003,2016,Outros,AMAPÁ,733508.0,180090240.44756472,245.51912241933928
1004,2016,Servidor ou empregado público,AMAPÁ,733508.0,212427075.41418165,289.60430617550406
1024,2017,Aposentado/pensionista,AMAPÁ,733508.0,31866367.526981913,43.44379001589882
1025,2017,Autônomo,AMAPÁ,733508.0,11581391.435151832,15.789045838834522
1026,2017,Empregado de empresa privada,AMAPÁ,733508.0,24294185.861710977,33.12054655397211
1027,2017,Empregado de entidades sem fins lucrativos,AMAPÁ,733508.0,205154.8524137823,0.27968999985519216
1028,2017,Empresário,AMAPÁ,733508.0,32738828.716945916,44.63322651824645
1029,2017,MEI,AMAPÁ,733508.0,1267104.9580457315,1.7274589480220142
1030,2017,Outros,AMAPÁ,733508.0,79211292.96544325,107.98967832040448
1031,2017,Servidor ou empregado público,AMAPÁ,733508.0,253801912.33174172,346.0111032623253
1051,2018,Aposentado/pensionista,AMAPÁ,733508.0,35661934.882573135,48.618331200986404
1052,2018,Autônomo,AMAPÁ,733508.0,11074572.249225175,15.098093339438936
1053,2018,Empregado de empresa privada,AMAPÁ,733508.0,21128040.04295658,28.80410308129779
1054,2018,Empregado de entidades sem fins lucrativos,AMAPÁ,733508.0,90225.64858605582,0.12300567762867728
1055,2018,Empresário,AMAPÁ,733508.0,31203821.447085954,42.54053322811197
1056,2018,MEI,AMAPÁ,733508.0,1234905.7319587874,1.683561368054319
1057,2018,Outros,AMAPÁ,733508.0,76493396.22165485,104.28433803265247
1058,2018,Servidor ou empregado público,AMAPÁ,733508.0,225530513.9291365,307.4683765264135
1079,2019,Aposentado/pensionista,AMAPÁ,733508.0,44508156.89452225,60.6784887070383
1080,2019,Autônomo,AMAPÁ,733508.0,14446090.119908463,19.69452292259725
1081,2019,Empregado de empresa privada,AMAPÁ,733508.0,24141582.542812783,32.91250067185741
1082,2019,Empregado de entidades sem fins lucrativos,AMAPÁ,733508.0,172548.3126827184,0.23523712445224645
1083,2019,Empresário,AMAPÁ,733508.0,37165381.92607163,50.66799806692173
1084,2019,MEI,AMAPÁ,733508.0,2174445.6771558304,2.964447118716947
1085,2019,Outros,AMAPÁ,733508.0,99966937.96320365,136.28609089908176
1086,2019,Servidor ou empregado público,AMAPÁ,733508.0,217010678.94098088,295.8531862515213
1107,2020,Aposentado/pensionista,AMAPÁ,733508.0,54766014.80204767,74.66314587168466
1108,2020,Autônomo,AMAPÁ,733508.0,12836692.476978226,17.500412370387544
1109,2020,Empregado de empresa privada,AMAPÁ,733508.0,26722760.95074886,36.43145125990291
1110,2020,Empregado de entidades sem fins lucrativos,AMAPÁ,733508.0,221471.74050260798,0.30193500343910085
1111,2020,Empresário,AMAPÁ,733508.0,32551648.55036724,44.37804161695202
1112,2020,MEI,AMAPÁ,733508.0,2128629.001713754,2.9019847114329416
1113,2020,Outros,AMAPÁ,733508.0,94891745.31261642,129.3670216447761
1114,2020,Servidor ou empregado público,AMAPÁ,733508.0,223431522.49914843,304.60679706172044
1135,2021,Aposentado/pensionista,AMAPÁ,733508.0,47404472.672258385,64.62706974192291
1136,2021,Autônomo,AMAPÁ,733508.0,14943963.559338342,20.373279581597394
1137,2021,Empregado de empresa privada,AMAPÁ,733508.0,33000993.852285203,44.99063930084635
