ID,data_publicacao,diretoria,numero_revista,codigo,titulo,numero,data_deposito,data_prioridade,cod_prioridade,classif_internacion,classif_nacion,titulo_inid,titular_nome,titular_uf,titular_pais,inventor_nome,titular_1,titular_parceiros1,titular_parceiros2,titular_abv,titular_uf1,titular_uf2,classif_nac1,classif_nac2,classif_nac3,classif_internac1,classif_internac2,classif_internac3,inventor_1,inventor_outros
ID00039,07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 012455-2,18/06/2018,,,C01B 33/32; C04B 12/00,C01B 33/32; C04B 12/005,"PROCESSO PARA A OBTENÇÃO DE ALUMINOSSILICATO SINTÉTICO, PROCESSO PARA A OBTENÇÃO DE GEOPOLÍMERO E PRODUTO",UNIVERSIDADE FEDERAL DE MINAS GERAIS,MG,BR,MARIANA ARRUDA PEREIRA; WANDER LUIZ VASCONCELOS; DANIELA CORDEIRO LEITE VASCONCELOS,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,UFMG,MG,,C01B 33/32,C04B 12/005,,C01B 33/32,C04B 12/00,,MARIANA ARRUDA PEREIRA,WANDER LUIZ VASCONCELOS; DANIELA CORDEIRO LEITE VASCONCELOS
ID00050,07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 013004-8,25/06/2018,,,A01M 1/04; A01M 1/10,A01M 1/04; A01M 1/106,ARMADILHA LUMINOSA PARA A CAPTURA DE PEQUENOS INSETOS VOADORES,UNIVERSIDADE FEDERAL DO MARANHÃO,MA,BR,FRANCINALDO SOARES SILVA,UNIVERSIDADE FEDERAL DO MARANHÃO,,,UFMA,MA,,A01M 1/04,A01M 1/106,,A01M 1/04,A01M 1/10,,FRANCINALDO SOARES SILVA,
ID00051,07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 013005-6,25/06/2018,,,A01N 65/40; A01P 7/04,A01N 65/40,COMPOSIÇÃO INSETICIDA DE EXTRATO DE AGAVE HÍBRIDA PARA O COMBATE AO MOSQUITO AEDES AEGYPTI EM QUALQUER UMA DE SUAS FASES DE VIDA,UNIVERSIDADE FEDERAL DA PARAIBA; EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA - EMBRAPA,PB; PB,BR; BR,FABÍOLA DA CRUZ NUNES; EVERALDO PAULO DE MEDEIROS; VALDIR DE ANDRADE BRAGA; LOUISE HELENA GUIMARÃES DE OLIVEIRA; PATRICIA ALEXANDRIA PAIVA SILVA DE SOUSA; GABRIEL JOVENTINO DO NASCIMENTO,UNIVERSIDADE FEDERAL DA PARAIBA,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA - EMBRAPA,,UFPB,PB,PB,A01N 65/40,,,A01N 65/40,A01P 7/04,,FABÍOLA DA CRUZ NUNES,EVERALDO PAULO DE MEDEIROS; VALDIR DE ANDRADE BRAGA; LOUISE HELENA GUIMARÃES DE OLIVEIRA; PATRICIA ALEXANDRIA PAIVA SILVA DE SOUSA; GABRIEL JOVENTINO DO NASCIMENTO
ID00054,07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 013016-1,25/06/2018,,,C08K 9/04; C08L 91/00; C08L 57/00; C11B 1/04,C08K 9/04; C08L 91/00; C08L 57/00; C11B 1/04; C08L 2666/78; C08L 2207/322; C08L 2201/02,FORMULAÇÃO À BASE DE POLÍMERO VINÍLICO E ÓLEO DA BORRA DO CAFÉ COMO ESTABILIZANTE TÉRMICO,UNIVERSIDADE FEDERAL DE PERNAMBUCO,PE,BR,KÁTIA APARECIDA DA SILVA AQUINO; ELMO SILVANO DE ARAÚJO; PATRÍCIA LOPES BARROS DE ARAÚJO; RENATA FRANCISCA DA SILVA SANTOS; LINDOMAR AVELINO DA SILVA,UNIVERSIDADE FEDERAL DE PERNAMBUCO,,,UFPE,PE,,C08K 9/04,C08L 91/00,C08L 57/00; C11B 1/04; C08L 2666/78; C08L 2207/322; C08L 2201/02,C08K 9/04,C08L 91/00,C08L 57/00; C11B 1/04,KÁTIA APARECIDA DA SILVA AQUINO,ELMO SILVANO DE ARAÚJO; PATRÍCIA LOPES BARROS DE ARAÚJO; RENATA FRANCISCA DA SILVA SANTOS; LINDOMAR AVELINO DA SILVA
ID00068,07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 013132-0,26/06/2018,,,A21D 13/06; A23L 33/105; A23L 25/00; A21D 13/80,A21D 13/06; A23L 33/105; A23L 25/30; A21D 13/80; A23V 2200/32; A23V 2200/304,BOLO SEM LACTOSE ELABORADO COM EXTRATO DE AMENDOIM,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,PB,BR,ANTONIO JACKSON RIBEIRO BARROSO; FRANCISCO DE ASSIS CARDOSO ALMEIDA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,,A21D 13/06,A23L 33/105,A23L 25/30; A21D 13/80; A23V 2200/32; A23V 2200/304,A21D 13/06,A23L 33/105,A23L 25/00; A21D 13/80,ANTONIO JACKSON RIBEIRO BARROSO,FRANCISCO DE ASSIS CARDOSO ALMEIDA
ID00069,07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 013142-7,26/06/2018,,,A21D 13/066; A21D 13/80; A23L 25/00,A21D 13/066; A21D 13/80; A23L 25/30; A23V 2200/126; A23V 2200/304; A23V 2200/32,BOLO SEM GLÚTEN ELABORADO COM RESÍDUO DE EXTRATO DE AMENDOIM,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,PB,BR,ANTONIO JACKSON RIBEIRO BARROSO; FRANCISCO DE ASSIS CARDOSO ALMEIDA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,,A21D 13/066,A21D 13/80,A23L 25/30; A23V 2200/126; A23V 2200/304; A23V 2200/32,A21D 13/066,A21D 13/80,A23L 25/00,ANTONIO JACKSON RIBEIRO BARROSO,FRANCISCO DE ASSIS CARDOSO ALMEIDA
ID00072,07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 013219-9,27/06/2018,,,G01D 4/00; G01R 22/00; H04Q 9/00,G01D 4/006; G01R 22/00; H04Q 2209/30; H04Q 9/00,"SISTEMA DE MONITORAMENTO ONLINE DE ÁGUA RESIDENCIAL, INDUSTRIAL, COMERCIAL OU PÚBLICA PARA OBTENÇÃO DE DADOS ESTATÍSTICOS USANDO SENSORES, SERVIDOR WEB E APLICATIVO PARA PLATAFORMA MÓVEL",UNIVERSIDADE FEDERAL DO PARÁ,PA,BR,ELIEZER MIRANDA COELHO; FABRICIO DE SOUZA FARIAS; DAVI SALES E SOUZA,UNIVERSIDADE FEDERAL DO PARÁ,,,UFPA,PA,,G01D 4/006,G01R 22/00,H04Q 2209/30; H04Q 9/00,G01D 4/00,G01R 22/00,H04Q 9/00,ELIEZER MIRANDA COELHO,FABRICIO DE SOUZA FARIAS; DAVI SALES E SOUZA
ID00074,07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 013259-8,27/06/2018,,,C12N 11/10; C12N 9/20; C12R 1/01,,SUPORTE TRIDIMENSIONAL A BASE DE BIOPOLÍMERO PARA IMOBILIZAÇÃO FÍSICA DE ENZIMAS,INSTITUTO DE TECNOLOGIA E PESQUISA; UNIVERSIDADE TIRADENTES; UNIVERSIDADE FEDERAL DE SERGIPE,SE; SE; SE,BR; BR; BR,ISADORA MONTEIRO ANDRADE BARRETO; ALVARO SILVA LIMA; PAULO AUTRAN LEITE LIMA; CLEIDE MARA FARIA SOARES; RANYERE LUCENA DE SOUZA; ANY EDUARDA NANES DE OLIVEIRA FARIAS; GABRIELA SANTOS ANDRADE,INSTITUTO DE TECNOLOGIA E PESQUISA,UNIVERSIDADE TIRADENTES,UNIVERSIDADE FEDERAL DE SERGIPE,,SE,SE; SE,,,,C12N 11/10,C12N 9/20,C12R 1/01,ISADORA MONTEIRO ANDRADE BARRETO,ALVARO SILVA LIMA; PAULO AUTRAN LEITE LIMA; CLEIDE MARA FARIA SOARES; RANYERE LUCENA DE SOUZA; ANY EDUARDA NANES DE OLIVEIRA FARIAS; GABRIELA SANTOS ANDRADE
ID00079,07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 013335-7,28/06/2018,,,A61K 36/06; A61P 17/02,,LISADO CELULAR DE FUNGOS NEGROS NA CICATRIZAÇÃO DE LESÕES CUTÂNEAS,UNIVERSIDADE FEDERAL DO PARÁ,PA,BR,SÂMELA MIRANDA DA SILVA; NAILA FERREIRA DA CRUZ; ALINE BARRAL TAKAHASHI; MOISES BATISTA DA SILVA; CLAUDIO GUEDES SALGADO,UNIVERSIDADE FEDERAL DO PARÁ,,,UFPA,PA,,,,,A61K 36/06,A61P 17/02,,SÂMELA MIRANDA DA SILVA,NAILA FERREIRA DA CRUZ; ALINE BARRAL TAKAHASHI; MOISES BATISTA DA SILVA; CLAUDIO GUEDES SALGADO
ID00080,07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 013340-3,28/06/2018,,,A61K 36/185; A61P 31/10,,AÇÃO ANTIFÚNGICA DO EXTRATO AQUOSO DE MALPIGHIA GLABRA LINN,UNIVERSIDADE FEDERAL DO PARÁ,PA,BR,NAILA FERREIRA DA CRUZ; CLÁUDIO GUEDES SALGADO; MOISES BATISTA DA SILVA; ALINE BARRAL TAKAHASHI; SAMELA MIRANDA DA SILVA,UNIVERSIDADE FEDERAL DO PARÁ,,,UFPA,PA,,,,,A61K 36/185,A61P 31/10,,NAILA FERREIRA DA CRUZ,CLÁUDIO GUEDES SALGADO; MOISES BATISTA DA SILVA; ALINE BARRAL TAKAHASHI; SAMELA MIRANDA DA SILVA
ID00087,07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 013670-4,03/07/2018,,,A01M 1/04,A01M 1/04,DISPOSITIVO PARA CAPTURA DE INSETOS,UNIVERSIDADE FEDERAL DE MINAS GERAIS,MG,BR,ÁLVARO EDUARDO EIRAS; MARCELO CARVALHO DE RESENDE; PAULO CEZAR DEMARCO JÚNIOR,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,UFMG,MG,,A01M 1/04,,,A01M 1/04,,,ÁLVARO EDUARDO EIRAS,MARCELO CARVALHO DE RESENDE; PAULO CEZAR DEMARCO JÚNIOR
ID00167,14/01/2020,Patente,2558,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 013276-8,28/06/2018,,,G01R 23/167,G01R 23/167,MÉTODO PARA ESTIMAÇÃO DA FREQUÊNCIA DE SINCROFASORES UTILIZANDO O FILTRO DE SAVITZKY-GOLAY,UNIVERSIDADE FEDERAL DE JUIZ DE FORA - UFJF,MG,BR,CARLOS AUGUSTO DUQUE; LEANDRO RODRIGUES MANSO SILVA; RENATO RIBEIRO ALEIXO,UNIVERSIDADE FEDERAL DE JUIZ DE FORA - UFJF,,,UFJF,MG,,G01R 23/167,,,G01R 23/167,,,CARLOS AUGUSTO DUQUE,LEANDRO RODRIGUES MANSO SILVA; RENATO RIBEIRO ALEIXO
ID00171,14/01/2020,Patente,2558,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 013380-2,28/06/2018,,,C08B 37/00; C08J 5/22,C08B 37/0042; C08B 37/00; C08B 37/0078; C02F 2303/20; C02F 2303/04; C08J 5/2212; B32B 2439/00; A61K 2236/00,FILME BIOATIVO ANTIMICROBIANO À BASE DE CARRAGENANA E EXTRATO DE FOLHAS DE OLIVEIRA,"FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA; SECRETARIA DO DESENVOLVIMENTO ECONÔMICO, CIÊNCIA E TECNOLOGIA",RS; RS,BR; BR,GABRIELA SILVEIRA DA ROSA; CAROLINE COSTA MORAES; PRISCILA BARUFFI RIBEIRO; BARBARA DE ZORZI SILVA; CLAUDIO MARTIN PEREIRA DE PEREIRA; BRUNA SILVEIRA PACHECO; VITÓRIA OLAVE DE FREITAS; THAMIRIS RENATA MARTINY,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA,"SECRETARIA DO DESENVOLVIMENTO ECONÔMICO, CIÊNCIA E TECNOLOGIA",,UNIPAMPA,RS,RS,C08B 37/0042,C08B 37/00,C08B 37/0078; C02F 2303/20; C02F 2303/04; C08J 5/2212; B32B 2439/00; A61K 2236/00,C08B 37/00,C08J 5/22,,GABRIELA SILVEIRA DA ROSA,CAROLINE COSTA MORAES; PRISCILA BARUFFI RIBEIRO; BARBARA DE ZORZI SILVA; CLAUDIO MARTIN PEREIRA DE PEREIRA; BRUNA SILVEIRA PACHECO; VITÓRIA OLAVE DE FREITAS; THAMIRIS RENATA MARTINY
ID00173,14/01/2020,Patente,2558,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 013398-5,28/06/2018,,,C07F 1/08; A61K 31/555; A61P 35/00,,"COMPLEXOS HETEROLÉPTICOS DE COBRE (II), PROCESSO DE OBTENÇÃO, COMPOSIÇÕES FARMACÊUTICAS E USO",UNIVERSIDADE FEDERAL DE MINAS GERAIS; FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS ? FAPEMIG,MG; MG,BR; BR,ELENE CRISTINA PEREIRA MAIA; ÍVINA PAULA DE SOUZA,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS ? FAPEMIG,,UFMG,MG,MG,,,,C07F 1/08,A61K 31/555,A61P 35/00,ELENE CRISTINA PEREIRA MAIA,ÍVINA PAULA DE SOUZA
ID00178,14/01/2020,Patente,2558,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 013494-9,29/06/2018,,,A61B 5/0488; A61B 5/22,A61B 5/0488; A61B 5/22,DISPOSITIVO PARA AVALIAÇÃO DA ESPASTICIDADE BASEADO NO MÉTODO LRET,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,MG,BR,EDUARDO LÁZARO MARTINS NAVES; ANDRESSA RASTRELO REZENDE; CAMILLE MARQUES ALVES; ISABELA ALVES MARQUES,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UFU,MG,,A61B 5/0488,A61B 5/22,,A61B 5/0488,A61B 5/22,,EDUARDO LÁZARO MARTINS NAVES,ANDRESSA RASTRELO REZENDE; CAMILLE MARQUES ALVES; ISABELA ALVES MARQUES
ID00194,14/01/2020,Patente,2558,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 013866-9,05/07/2018,,,B05D 5/12; H01M 4/90; H01M 8/12,B05D 5/12; H01M 4/90; H01M 8/12,SÍNTESE DA PEROVSKITA DE LA2FEMNO6 COM ESTRUTURA ORGANIZACIONAL DO TIPO DUPLA-PEROVSKITA,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,RN,BR,LÁZARO LUIS DE LIMA SOUSA; MARCO ANTONIO MORALES TORRES; JOSÉ HUMBERTO DE ARAUJO,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,,,UFRN,RN,,B05D 5/12,H01M 4/90,H01M 8/12,B05D 5/12,H01M 4/90,H01M 8/12,LÁZARO LUIS DE LIMA SOUSA,MARCO ANTONIO MORALES TORRES; JOSÉ HUMBERTO DE ARAUJO
ID00196,14/01/2020,Patente,2558,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 014145-7,11/07/2018,,,G06K 9/20; G06T 5/10,G06K 9/20; G06T 5/10,SISTEMA E MÉTODO DE REMAPEAMENTO ESPECTRAL DE IMAGENS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,RS,BR,EDUARDO SIMÕES LOPES GASTAL; MANUEL MENEZES DE OLIVEIRA NETO,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,,,UFRGS,RS,,G06K 9/20,G06T 5/10,,G06K 9/20,G06T 5/10,,EDUARDO SIMÕES LOPES GASTAL,MANUEL MENEZES DE OLIVEIRA NETO
